"","school_id","short_name","chronic_truancy_pct","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","sat_grade_11_score_school_avg","attainment_all_grades_school_pct","school_type","primary_category","truancy_bin","mobility_rate_pct"
"91",609730,"SENN HS",55.3,39.2,37.1,37.7,960,38,"Neighborhood","HS","40-60%",11.4
"92",609732,"STEINMETZ HS",75.5,16.1,12.4,9.4,833,12.8,"Neighborhood","HS","60-80%",19.7
"93",609733,"SULLIVAN HS",61.6,33.3,16.5,14.1,868,21.2,"Neighborhood","HS","60-80%",22.1
"94",609734,"TAFT HS",50.6,56.6,48.5,41.5,969,48.8,"Neighborhood","HS","40-60%",6.3
"95",609735,"TILDEN HS",82.1,7.7,4,0,789,3.8,"Neighborhood","HS","80-100%",33.7
"96",609737,"VON STEUBEN HS",43.7,63.4,57.9,49.3,1003,57.2,"Magnet","HS","40-60%",3.2
"97",609738,"LINCOLN PARK HS",52.1,71.7,76,64.2,1056,70.5,"Neighborhood","HS","40-60%",7.6
"98",609739,"WASHINGTON HS",68.6,27.9,18.8,15.7,882,20.8,"Neighborhood","HS","60-80%",8.7
"99",609740,"WELLS HS",75.4,12.2,7.3,5.2,771,8.6,"Neighborhood","HS","60-80%",19.9
"100",609741,"HUBBARD HS",67.3,26,21.7,15.8,882,21.5,"Neighborhood","HS","60-80%",9.8
"101",609746,"KENWOOD HS",33,60.7,51.1,40,973,50.5,"Neighborhood","HS","20-40%",4.2
"102",609749,"NORTHSIDE PREP HS",26.5,95.8,96.8,96.6,1295,96.4,"Selective enrollment","HS","20-40%",NA
"103",609751,"KING HS",39.9,34.6,42.3,34,955,36.1,"Selective enrollment","HS","20-40%",3.9
"104",609753,"CHICAGO AGRICULTURE HS",33.5,47.9,38.5,28.4,930,38.5,"Magnet","HS","20-40%",4.4
"105",609754,"CHICAGO MILITARY HS",60.6,11.5,15.1,3.4,832,9.8,"Military academy","HS","60-80%",11.2
"106",609755,"YOUNG HS",18.7,93.7,97.8,97.2,1275,96.2,"Selective enrollment","HS","0-20%",1
"107",609756,"CURIE HS",66,30,27.6,24.3,914,27.4,"Magnet","HS","60-80%",17.2
"108",609759,"CLEMENTE HS",85.7,10.3,3.8,5.6,804,6.7,"Neighborhood","HS","80-100%",22.5
"109",609760,"CARVER MILITARY HS",49.1,25.9,13.9,14.4,868,18.2,"Military academy","HS","40-60%",9.2
"110",609761,"CORLISS HS",75,10.5,6,1.4,787,6.3,"Neighborhood","HS","60-80%",19.1
"111",609762,"JULIAN HS",80.1,5.2,1.9,1.2,773,2.8,"Neighborhood","HS","80-100%",18.7
"112",609764,"JUAREZ HS",66.4,22.1,15.4,7.2,848,14.6,"Neighborhood","HS","60-80%",4.4
"113",609780,"MARINE LEADERSHIP AT AMES HS",53.2,25.2,21.8,16.7,898,21.5,"Military academy","HS","40-60%",5.6
"114",610244,"CLARK HS",90.9,9.5,3.9,0.8,759,4.6,"Magnet","HS","80-100%",11.6
"115",610245,"DOUGLASS HS",77.4,0,0,0,748,0,"Neighborhood","HS","60-80%",32.6
"116",610304,"PHOENIX MILITARY HS",40.4,31.9,24.4,27,921,27.7,"Military academy","HS","40-60%",6.6
"117",610323,"BOWEN HS",69.9,2.8,3.1,0,770,1.8,"Small","HS","60-80%",22.6
"118",610334,"RABY HS",94,6.1,0,0,768,1.8,"Small","HS","80-100%",11.8
"119",610340,"CHICAGO ACADEMY HS",31.6,50.9,30.8,27.2,921,35.8,"Small","HS","20-40%",3.9
"120",610357,"SPRY HS",79.8,0,0,0,821,3.1,"Neighborhood","HS","60-80%",12.5
"121",610380,"WILLIAMS HS",71.4,0,0,6.7,775,2.6,"Small","HS","60-80%",NA
"122",610381,"BRONZEVILLE HS",51.9,14.3,0,0,0,13.9,"Small","HS","40-60%",NA
"123",610383,"SOCIAL JUSTICE HS",76.7,15.2,4.4,10.3,867,9.6,"Small","HS","60-80%",13.4
"124",610384,"INFINITY HS",40.6,33.7,38.5,29.1,934,33.9,"Small","HS","40-60%",3
"125",610385,"MULTICULTURAL ARTS HS",71.4,26.2,20,4.3,830,16.1,"Small","HS","60-80%",20.6
"126",610389,"ORR HS",74.3,7.1,8.6,2,785,5.7,"Neighborhood","HS","60-80%",32.4
"127",610390,"RICKOVER MILITARY HS",49.6,43.8,32.5,13.2,898,30,"Military academy","HS","40-60%",9.6
"128",610391,"LINDBLOM HS",42.1,91.2,75.4,66.4,1040,77,"Selective enrollment","HS","40-60%",1.6
"129",610392,"WORLD LANGUAGE HS",47.2,11.8,12.5,10.6,871,11.6,"Small","HS","40-60%",5.6
"130",610394,"UPLIFT HS",81.8,10,0,16.7,857,12.5,"Small","HS","80-100%",21.6
"131",610402,"DEVRY HS",37,0,0,56.8,1041,56.8,"Magnet","HS","20-40%",NA
"132",610499,"COLLINS HS",80.2,1.3,2.9,3.6,770,2.5,"Small","HS","80-100%",12.6
"133",610513,"AIR FORCE HS",60.3,22.7,13.5,16.3,866,16.7,"Military academy","HS","60-80%",8.8
"134",610518,"AUSTIN CCA HS",83.8,0,0,3.2,759,1,"Small","HS","80-100%",37.3
"135",610524,"ALCOTT HS",54.5,40.7,30.3,15.6,872,32.3,"Small","HS","40-60%",6.5
"136",610529,"OGDEN HS",58.3,35.4,37.8,23.4,914,32.1,"Neighborhood","HS","40-60%",9.4
"137",610543,"SOLORIO HS",45.2,50.6,33.5,32.4,944,39.2,"Neighborhood","HS","40-60%",13.6
"138",610547,"SOUTH SHORE INTL HS",73.8,17.9,33.3,13.3,893,21.2,"Selective enrollment","HS","60-80%",6.3
"139",610558,"GOODE HS",53.8,21.3,12.7,6.5,836,13.8,"Citywide-Option","HS","40-60%",2.8
"140",610561,"CRANE MEDICAL HS",83.4,14.5,8.1,6.9,845,9.3,"Magnet","HS","80-100%",12.4
"141",610563,"BACK OF THE YARDS HS",51,57.1,39.9,35.5,949,43.9,"Neighborhood","HS","40-60%",3.8
"142",610564,"DISNEY II HS",54.5,38.3,30.8,28.7,934,32.5,"Magnet","HS","40-60%",3.8
"143",610587,"DYETT ARTS HS",59.9,8.1,5.7,3.2,823,5.6,"Neighborhood","HS","40-60%",13.1
"144",610592,"ENGLEWOOD STEM HS",85.1,6.4,5.3,3.4,799,4.8,"Neighborhood","HS","80-100%",19.6
