"","school_id","short_name","long_name","school_type","primary_category","address","city","state","zip","progress_report_year","school_survey_student_response_rate_pct","school_survey_teacher_response_rate_pct","school_survey_involved_families","school_survey_supportive_environment","school_survey_ambitious_instruction","school_survey_effective_leaders","school_survey_collaborative_teachers","school_survey_safety","suspensions_per_100_students_year_2_pct","misconducts_to_suspensions_year_2_pct","average_length_suspension_year_2_pct","behavior_discipline_year_1","behavior_discipline_year_2","student_attendance_year_1_pct","student_attendance_year_2_pct","teacher_attendance_year_1_pct","teacher_attendance_year_2_pct","one_year_dropout_rate_year_1_pct","one_year_dropout_rate_year_2_pct","mobility_rate_pct","chronic_truancy_pct","school_latitude","school_longitude","sat_grade_11_score_school_avg","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","attainment_all_grades_school_pct","truancy_bin"
"27",609709,"GAGE PARK HS","Gage Park High School","Neighborhood","HS","5630 S ROCKWELL ST","Chicago","Illinois",60629,2022,70.2,82.9,3,3,4,2,3,2,6.1,16.8,"2.4 days",2021,2022,73,82.4,80.9,92.6,3.7,2.6,27.9,70.7,41.791013,-87.688954,790,17.3,4,2.3,8.2,"60-80%"
"28",400027,"CICS - IRVING PARK","CICS - Irving Park","Charter","ES","3820 N SPAULDING AVE","Chicago","Illinois",60618,2022,90.7,90.9,4,3,4,4,4,3,NA,NA,NA,2021,2022,94.7,91.7,NA,NA,NA,NA,5.9,32.6,41.950891,-87.710492,0,0,0,0,0,"20-40%"
"29",609927,"FOSTER PARK","Foster Park Elementary School","Neighborhood","ES","8530 S WOOD ST","Chicago","Illinois",60620,2022,99.2,96.9,4,3,4,3,3,3,2.6,88.9,"2.0 days",2021,2022,92.2,90.5,88.5,92.8,NA,NA,12.1,32.3,41.738425,-87.668099,0,0,0,0,0,"20-40%"
"30",609795,"CLARK ES","George Rogers Clark Elementary School","Neighborhood","ES","1045 S MONITOR AVE","Chicago","Illinois",60644,2022,99,99.9,5,4,5,4,4,3,7.3,7.4,"1.2 days",2021,2022,95.2,91.9,94.3,93.7,NA,NA,9.8,26.7,41.867813,-87.770418,0,0,0,0,0,"20-40%"
"31",610126,"PERSHING","John J Pershing Elementary Humanities Magnet","Magnet","ES","3200 S CALUMET AVE","Chicago","Illinois",60616,2022,86.5,81,3,3,4,3,3,2,1.3,46.2,"2.0 days",2021,2022,89.4,90.5,86.2,91.2,NA,NA,8.3,36.6,41.836527,-87.618338,0,0,0,0,0,"20-40%"
"32",610231,"NATIONAL TEACHERS","National Teachers Elementary Academy","Neighborhood","ES","55 W CERMAK RD","Chicago","Illinois",60616,2022,90.1,69,3,3,4,3,2,3,1.2,21.4,"1.2 days",2021,2022,91.6,91.3,91.3,92.8,NA,NA,7.5,32.5,41.8528,-87.629308,0,0,0,0,0,"20-40%"
"33",400051,"NOBLE - NOBLE HS","Noble - Noble College Prep","Charter","HS","1010 N NOBLE ST","Chicago","Illinois",60642,2022,83.3,88,5,4,5,3,3,2,NA,NA,NA,2021,2022,67.5,86.9,NA,NA,0.7,1.4,4.4,51.9,41.900191,-87.662628,907,40.1,32.3,21.2,31.4,"40-60%"
"34",610141,"RAVENSWOOD","Ravenswood Elementary School","Neighborhood","ES","4332 N PAULINA ST","Chicago","Illinois",60613,2022,92.7,77.1,4,3,3,3,3,3,NA,NA,NA,2021,2022,97,93.4,91.2,93.3,NA,NA,5.4,19,41.960746,-87.670922,0,0,0,0,0,"0-20%"
"35",610515,"DISNEY II ES","Disney II Magnet School","Magnet","ES","3815 N KEDVALE AVE","Chicago","Illinois",60641,2022,63,59.5,3,3,2,2,2,3,NA,NA,NA,2021,2022,98.6,93.6,NA,NA,NA,NA,2.8,14.5,41.950461,-87.730678,0,0,0,0,0,"0-20%"
"36",609813,"BROWNELL","Charles S Brownell Elementary School","Neighborhood","ES","6741 S MICHIGAN AVE","Chicago","Illinois",60637,2022,42.9,64.7,3,NA,NA,2,2,NA,5.3,23.1,"1.6 days",2021,2022,90,86.5,85.5,92.8,NA,NA,24.9,58.7,41.77162,-87.621746,0,0,0,0,0,"40-60%"
"37",610242,"BRENNEMANN","Joseph Brennemann Elementary School","Neighborhood","ES","4251 N CLARENDON AVE","Chicago","Illinois",60613,2022,63.2,61.1,3,3,3,2,2,2,1.6,19.4,"2.3 days",2021,2022,90.8,88,95,93.5,NA,NA,14.4,37.6,41.959984,-87.649749,0,0,0,0,0,"20-40%"
"38",610103,"OKEEFFE","Isabelle C O'Keeffe Elementary School","Neighborhood","ES","6940 S MERRILL AVE","Chicago","Illinois",60649,2022,77.6,67.9,4,4,5,3,4,2,1.7,4.9,"2.4 days",2021,2022,88.2,86.6,89.9,91.5,NA,NA,20.2,51.1,41.768602,-87.572806,0,0,0,0,0,"40-60%"
"39",610053,"MARQUETTE","Marquette Elementary School","Neighborhood","ES","6550 S RICHMOND ST","Chicago","Illinois",60629,2022,74.9,71.8,4,3,3,3,3,2,0.1,0.8,"3.0 days",2021,2022,93.8,89.8,89.2,93.1,NA,NA,12.6,39.9,41.773881,-87.69703,0,0,0,0,0,"20-40%"
"40",400096,"ROWE","Rowe Elementary Charter School","Charter","ES","1424 N CLEAVER ST","Chicago","Illinois",60642,2022,94,70,2,3,3,2,3,3,NA,NA,NA,2021,2022,91.2,89.2,NA,NA,NA,NA,7.5,44.4,41.907797,-87.664072,0,0,0,0,0,"40-60%"
"41",610530,"SOUTH SHORE ES","South Shore Fine Arts Academy","Small","ES","1415 E 70TH ST","Chicago","Illinois",60637,2022,51.9,82.2,4,5,5,4,4,5,0.7,6.3,"2.0 days",2021,2022,86,86.3,87.2,91.9,NA,NA,8.8,46.9,41.767755,-87.590396,0,0,0,0,0,"40-60%"
"42",400150,"YCCS - CHATHAM","YCCS-Chatham AcademyHS","Charter","HS","9035 S LANGLEY AVE","Chicago","Illinois",60619,2022,84.4,55.6,NA,3,5,NA,NA,2,NA,NA,NA,2021,2022,59.3,51.9,NA,NA,32.6,36,85.7,91.4,41.730131,-87.60698,0,0,0,0,0,"80-100%"
"43",609819,"BURKE","Edmond Burke Elementary School","Neighborhood","ES","5356 S KING DR","Chicago","Illinois",60615,2022,54.6,51.3,2,2,2,2,2,1,4.2,54.5,"2.2 days",2021,2022,82.2,83.5,88.9,92.6,NA,NA,30.2,66.8,41.79676,-87.616141,0,0,0,0,0,"60-80%"
